datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2017-02-20,104295565.96126369,0.012353725353773569,658398101.5412221,0.21823972085814297,608996.291321984,0.00021861472136525283,103708182.69106069,587383.2702029995,0.014599204063415527
2017-02-21,104938001.87052035,0.0063469904563189196,677952907.3886999,0.18749412467583354,628523.3438578381,0.00018722802216833043,104425652.27610072,512349.5944196214,0.003292560577392578
2017-02-22,105412160.91452043,0.004712951026590373,698339147.3102603,0.194269373898641,648931.9635017752,0.00019448264003652977,104875460.49499092,536700.4195295195,0.0019925832748413086
2017-02-23,104906363.8524015,-0.0046229767021714295,715848671.3614266,0.1661053515956751,667411.061587334,0.0001753032849838237,102448994.46217209,2457369.3902294007,-0.0047109127044677734
2017-02-24,105150644.28577162,0.0025408255600251335,739006456.2429298,0.220747188550784,689679.3989026842,0.00021226869846218988,104494438.36516352,656205.9206080968,0.000152587890625
2017-02-27,104207822.86764643,-0.008768775598513448,759826520.4643956,0.1980022506080172,710458.4132468398,0.00019761185949259324,103654495.7160027,553327.1516437272,-0.0079537034034729
2017-02-28,104645888.46137469,0.004414492077215952,781760422.3914346,0.21048229704306357,732417.427951729,0.00021072328449639764,104064294.76873514,581593.6926395507,0.001912236213684082
2017-03-01,104992082.79153882,0.003498149199064203,801652757.5290465,0.1900918940064649,752290.0286941143,0.00018990331139211774,104469830.49009489,522252.3014439333,0.001630544662475586
2017-03-02,104264222.9631474,-0.006738462211738963,822010376.8956257,0.19389670940235668,772664.6746629792,0.00019405887974732958,103728292.10310061,535930.8600467842,-0.006748676300048828
2017-03-03,104299211.21671413,0.0005427940116185788,843591112.4318628,0.20698121486854523,794270.4169467129,0.00020722105502450551,103734872.60395867,564338.6127554583,-0.002107679843902588
2017-03-06,105255123.92540671,0.009373378967059167,865300865.1244097,0.20814877158982598,815993.7409537422,0.00020827889064177406,104685366.00769357,569757.917713135,0.005432009696960449
2017-03-07,105614573.19082998,0.0036254067050569497,887427206.2117884,0.21021628460633865,838137.1075512437,0.00021037803929806166,105032907.61946881,581665.5713611715,0.0021703243255615234
2017-03-08,105514271.247842,-0.0007525842495509722,907141241.2623748,0.18666017818361094,858955.1862327552,0.0001971136941858985,102745336.4933122,2768934.754529811,-0.0015142560005187988
2017-03-09,104876281.44293809,-0.005834665155890971,930529783.9552419,0.22166236297960032,881304.5492376524,0.00021181365080369968,104208055.4273535,668226.0155845946,-0.006318271160125732
2017-03-10,105034522.72067328,0.0017114929703284914,951825183.8573997,0.2030525835695686,902558.2899462448,0.00020265536130927993,104470868.83292806,563653.8877452165,0.0002771615982055664
2017-03-13,106143481.15913619,0.010768868237694976,973950564.5395119,0.21064865254781054,924702.7870714416,0.00021083065407063816,105563738.88234761,579742.2767885802,0.008813023567199707
2017-03-14,106203016.57534875,0.0007620979746075532,995303510.2633524,0.20117058052606127,946059.1028680556,0.00020120233068854557,105637890.46880996,565126.1065387921,-0.0004076957702636719
2017-03-15,106382890.01425211,0.0018990460369822156,1017099515.607966,0.205229625743726,967870.0817076666,0.00020537061510052902,105809627.89655752,573262.1176945833,0.0020105838775634766
2017-03-16,107035912.32246166,0.006350671035743514,1039656831.0227667,0.21203894171119775,990450.511810312,0.00021225621995811845,106439001.25918055,596911.0632811207,0.005159258842468262
2017-03-17,105751402.75557782,-0.011797961644477644,1061362785.9384178,0.20279132904719543,1012154.4905320845,0.00020277286614221553,105180148.05877587,571254.6968019521,-0.010254144668579102
